	 Score 	 miRNAs 	 DEmiRNAPercentage 	 Total_miRNAs 	 TS_Genes 	 TSgenesPercentage 	 Module
Only in Control:  	 5.990 	 hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN, hsa-miR-93-5p is not DE 	 33.33 	 3 	 ACOT9,ACVR1B,ADAR,AKAP11,ARHGAP12,ATP6V0E1,C16orf70,CCDC71L,CCND1,CEP72,CFL2,CNOT4,CRK,CSNK1A1,DYNC1LI2,EFCAB14,EIF2S1,FCHO2,FEM1A,FEM1B,FOXK1,GIGYF1,GINS4,GPR157,HAUS8,HSPA8,ICA1L,KMT2B,LDLR,LIMA1,MASTL,MAVS,MECP2,MFSD8,MIDN,MYLIP,NAGK,NPAT,PFKP,POLM,PVR,QKI,QSOX1,RAB11FIP1,REEP3,RGMB,RORA,RPS27A,SKIL,SLC5A3,SMAD4,SRSF2,STAT3,TGFBR2,TNFRSF21,TNKS2,TSG101,TSKU,UBC,UBXN2A,YWHAZ,ZBTB18,ZNF682,ZNFX1 	 24.06 	 ['266', 'hsa-miR-20a-5p', 'hsa-miR-93-5p', 'hsa-miR-519d-3p', 'GNB5', 'CXorf38', 'CAPZA2', 'GATAD1', 'DHODH', 'LIAS', 'ICA1L', 'GTF2H2C', 'SPIB', 'WDR53', 'RANGAP1', 'PIWIL2', 'AGMAT', 'FEM1B', 'RORA', 'TMEM200C', 'RPF2', 'ATAT1', 'DNAJC28', 'KMT2B', 'RNASEH1', 'TBL1XR1', 'TXK', 'EXO5', 'TNFAIP8L1', 'ZMYM1', 'CLEC12B', 'NR2F6', 'QSOX1', 'RRAGD', 'KCNA7', 'MED16', 'ZNF514', 'DIS3L', 'PRIM1', 'ZNF578', 'FXYD5', 'EPS15L1', 'PKNOX1', 'RBM20', 'KLHL36', 'CRISPLD2', 'EFCAB11', 'BMP8B', 'ZNF682', 'CEP72', 'FZD9', 'PCLAF', 'LZIC', 'MARCH6', 'MFSD8', 'TMEM242', 'CCDC71L', 'HMGB3', 'ZDHHC20', 'FOXQ1', 'PTP4A1', 'ZNF70', 'BBX', 'CNOT6L', 'COIL', 'FAM160B1', 'GPR157', 'PXK', 'SMIM13', 'TFAM', 'FEM1A', 'FUT10', 'ACOT9', 'TSR1', 'CEP170', 'EMSY', 'C9orf40', 'CEP97', 'CFL2', 'DYNC1LI2', 'FAM126B', 'GABPB1', 'M6PR', 'MAP3K2', 'NIPA1', 'PKMYT1', 'PURB', 'RAN', 'SCAMP2', 'TMEM64', 'UBC', 'USP32', 'ZNF12', 'NR2C2', 'GRK3', 'PRKCB', 'PVR', 'FJX1', 'TSKU', 'SALL3', 'TTC9', 'ANKRD33B', 'SKIL', 'PCBP2', 'ELK4', 'NRBP1', 'MAVS', 'GNS', 'GINS4', 'RGMB', 'TIMM17A', 'PHTF2', 'SP4', 'DNAJB9', 'CENPQ', 'ATP6V0E1', 'ANKH', 'U2SURP', 'RAB10', 'FNBP1L', 'CCDC137', 'MINK1', 'KRT10', 'KIAA0513', 'ZFYVE9', 'EIF2S1', 'ZFYVE21', 'ACVR1B', 'ZBTB18', 'MED17', 'TNKS2', 'MAPK1', 'WASL', 'ZBTB5', 'ZFYVE26', 'GLO1', 'TNFRSF10B', 'LAPTM4A', 'NAGK', 'NFAT5', 'RPS27A', 'RBM12B', 'ATL3', 'LAMTOR1', 'WAC', 'RPS6KA5', 'ZBTB7A', 'KPNA2', 'HSPA8', 'SEPT2', 'FOXK1', 'EIF4H', 'POLR1B', 'CAVIN1', 'HMGB1', 'GID4', 'TPRG1L', 'EFCAB14', 'FEM1C', 'SLC5A3', 'TSG101', 'F3', 'SRSF2', 'MTPAP', 'ANKRD52', 'YOD1', 'FBXL5', 'KLHL28', 'B2M', 'FCHO2', 'SGTB', 'FAM210A', 'C3orf38', 'ICMT', 'ZBTB33', 'TAX1BP1', 'BTG3', 'FOXJ3', 'UBXN2A', 'TNFRSF21', 'ZNF180', 'ZC3H12C', 'ACTR2', 'NUFIP2', 'NIN', 'AKAP11', 'FAM129A', 'CAPRIN2', 'KATNAL1', 'HAUS8', 'SUCO', 'ZNF202', 'TMEM127', 'LIMA1', 'KDM6B', 'GIGYF1', 'BTF3L4', 'FOXK2', 'SLC35F5', 'CLIC4', 'MORF4L1', 'KIAA1191', 'MASTL', 'HBP1', 'MIDN', 'PTPN4', 'ARHGAP1', 'CNOT4', 'ENPP5', 'C16orf70', 'ZBTB4', 'PRNP', 'PPP1R15B', 'MAPRE3', 'PDRG1', 'MAP7', 'ARHGAP12', 'NACC2', 'ZNF417', 'RAB5B', 'MSMO1', 'REEP3', 'POLM', 'PNRC1', 'RRM2', 'PFKP', 'LDLR', 'DUSP2', 'YWHAZ', 'NFIB', 'QKI', 'MDM2', 'CSNK1A1', 'RHOC', 'RAB22A', 'SOD2', 'TXNIP', 'BNIP2', 'ARID4B', 'MKNK2', 'SMAD4', 'RAB11FIP1', 'CRK', 'ADAR', 'NETO2', 'LASP1', 'ZNF264', 'SOX4', 'BTG2', 'MYLIP', 'NARS', 'SLC30A1', 'SHOC2', 'BRI3BP', 'TGFBR2', 'KIF23', 'CDKN1A', 'PTEN', 'STAT3', 'MECP2', 'ATXN1', 'NPAT', 'NABP1', 'GPR137B', 'ZNFX1', 'GATA6', 'WEE1', 'E2F1', 'CCND1', 'BCL2L11']
Only in Control:  	 3.113 	 hsa-miR-17-3p is DOWN, hsa-miR-20a-5p is not DE, hsa-miR-93-5p is not DE 	 33.33 	 3 	 FEM1A 	 33.33 	 ['4', 'hsa-miR-20a-5p', 'hsa-miR-93-5p', 'hsa-miR-17-3p', 'FEM1A', 'HBP1', 'SOD2', 'TXNIP']
Only in Control:  	 3.113 	 hsa-miR-20a-5p is not DE, hsa-miR-491-5p is UP, hsa-miR-93-5p is not DE 	 33.33 	 3 	 YWHAZ 	 33.33 	 ['4', 'hsa-miR-20a-5p', 'hsa-miR-93-5p', 'hsa-miR-491-5p', 'NACC2', 'YWHAZ', 'NFIB', 'SHOC2']
Only in Case:  	 3.170 	 hsa-miR-148b-3p is UP, hsa-miR-20a-5p is not DE, hsa-miR-93-5p is not DE 	 33.33 	 3 	 CNOT4 	 33.33 	 ['3', 'hsa-miR-20a-5p', 'hsa-miR-93-5p', 'hsa-miR-148b-3p', 'ZFYVE26', 'CNOT4', 'TXNIP']
Only in Control:  	 3.371 	 hsa-miR-142-3p is UP, hsa-miR-20a-5p is not DE, hsa-miR-93-5p is not DE 	 33.33 	 3 	 C16orf70,MFSD8 	 18.18 	 ['11', 'hsa-miR-20a-5p', 'hsa-miR-93-5p', 'hsa-miR-142-3p', 'MFSD8', 'WASL', 'HMGB1', 'YOD1', 'SUCO', 'SLC35F5', 'CLIC4', 'MORF4L1', 'KIAA1191', 'C16orf70', 'PPP1R15B']
Only in Case:  	 3.522 	 hsa-miR-20a-5p is not DE, hsa-miR-539-5p is UP, hsa-miR-93-5p is not DE 	 33.33 	 3 	 CCDC71L,LDLR 	 22.22 	 ['9', 'hsa-miR-20a-5p', 'hsa-miR-93-5p', 'hsa-miR-539-5p', 'ZMYM1', 'PCLAF', 'CCDC71L', 'GLO1', 'LAMTOR1', 'NUFIP2', 'ENPP5', 'LDLR', 'SOD2']
Only in Case:  	 3.113 	 hsa-miR-20a-5p is not DE, hsa-miR-365b-3p is DOWN, hsa-miR-93-5p is not DE 	 33.33 	 3 	 MYLIP 	 50.00 	 ['4', 'hsa-miR-20a-5p', 'hsa-miR-93-5p', 'hsa-miR-365b-3p', 'POLR1B', 'NUFIP2', 'BTF3L4', 'MYLIP']
Only in Case:  	 4.113 	 hsa-miR-20a-5p is not DE, hsa-miR-3910 is UP, hsa-miR-93-5p is not DE 	 33.33 	 3 	 EFCAB14,MYLIP 	 50.00 	 ['4', 'hsa-miR-20a-5p', 'hsa-miR-93-5p', 'hsa-miR-3910', 'EFCAB14', 'ICMT', 'ARHGAP1', 'MYLIP']
Only in Control:  	 5.560 	 hsa-miR-20a-5p is not DE, hsa-miR-34b-5p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 CNOT4,GIGYF1,TGFBR2,UBXN2A 	 66.67 	 ['6', 'hsa-miR-20a-5p', 'hsa-miR-34b-5p', 'hsa-miR-519d-3p', 'UBXN2A', 'GIGYF1', 'ARHGAP1', 'CNOT4', 'BTG2', 'TGFBR2']
Only in Control:  	 5.113 	 hsa-miR-20a-5p is not DE, hsa-miR-34a-5p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 CCND1,CNOT4,GIGYF1,SMAD4 	 50.00 	 ['8', 'hsa-miR-20a-5p', 'hsa-miR-34a-5p', 'hsa-miR-519d-3p', 'RRAGD', 'GIGYF1', 'ARHGAP1', 'CNOT4', 'TXNIP', 'SMAD4', 'E2F1', 'CCND1']
Only in Control:  	 5.435 	 hsa-miR-20a-5p is not DE, hsa-miR-26a-5p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 C16orf70,HAUS8,HSPA8,SMAD4,ZBTB18 	 50.00 	 ['10', 'hsa-miR-20a-5p', 'hsa-miR-26a-5p', 'hsa-miR-519d-3p', 'ZBTB18', 'KPNA2', 'HSPA8', 'NUFIP2', 'HAUS8', 'C16orf70', 'MDM2', 'SMAD4', 'PTEN', 'NABP1']
Only in Control:  	 3.042 	 hsa-miR-20a-5p is not DE, hsa-miR-223-3p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 ZBTB18 	 60.00 	 ['5', 'hsa-miR-20a-5p', 'hsa-miR-223-3p', 'hsa-miR-519d-3p', 'C9orf40', 'ZBTB18', 'F3', 'MSMO1', 'MKNK2']
Only in Control:  	 3.170 	 hsa-miR-155-5p is UP, hsa-miR-20a-5p is not DE, hsa-miR-221-3p is not DE 	 33.33 	 3 	 MIDN 	 22.22 	 ['3', 'hsa-miR-20a-5p', 'hsa-miR-221-3p', 'hsa-miR-155-5p', 'MIDN', 'PTEN', 'WEE1']
Only in Control:  	 3.522 	 hsa-miR-20a-5p is not DE, hsa-miR-221-3p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 MIDN,MYLIP 	 22.22 	 ['9', 'hsa-miR-20a-5p', 'hsa-miR-221-3p', 'hsa-miR-519d-3p', 'EXO5', 'KPNA2', 'MIDN', 'MDM2', 'MYLIP', 'PTEN', 'ATXN1', 'WEE1', 'BCL2L11']
Only in Control:  	 2.975 	 hsa-miR-20a-5p is not DE, hsa-miR-214-3p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 QKI 	 33.33 	 ['6', 'hsa-miR-20a-5p', 'hsa-miR-214-3p', 'hsa-miR-519d-3p', 'ZBTB33', 'NUFIP2', 'ZNF417', 'QKI', 'SHOC2', 'PTEN']
Only in Control:  	 2.863 	 hsa-miR-204-5p is not DE, hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 TGFBR2 	 33.33 	 ['8', 'hsa-miR-20a-5p', 'hsa-miR-204-5p', 'hsa-miR-519d-3p', 'ZDHHC20', 'CEP97', 'RAB10', 'RAB22A', 'SOD2', 'TXNIP', 'SOX4', 'TGFBR2']
Only in Control:  	 4.106 	 hsa-miR-17-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-20a-5p is not DE 	 33.33 	 3 	 ARHGAP12,CCND1,FOXK1 	 30.00 	 ['10', 'hsa-miR-20a-5p', 'hsa-miR-195-5p', 'hsa-miR-17-5p', 'ELK4', 'MINK1', 'FOXK1', 'ACTR2', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23', 'WEE1', 'CCND1']
Only in Control:  	 4.106 	 hsa-miR-16-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-20a-5p is not DE 	 33.33 	 3 	 ARHGAP12,CCND1,FOXK1 	 30.00 	 ['10', 'hsa-miR-20a-5p', 'hsa-miR-195-5p', 'hsa-miR-16-5p', 'ELK4', 'MINK1', 'FOXK1', 'ACTR2', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23', 'WEE1', 'CCND1']
Only in Control:  	 4.106 	 hsa-miR-15b-5p is not DE, hsa-miR-195-5p is DOWN, hsa-miR-20a-5p is not DE 	 33.33 	 3 	 ARHGAP12,CCND1,FOXK1 	 30.00 	 ['10', 'hsa-miR-20a-5p', 'hsa-miR-195-5p', 'hsa-miR-15b-5p', 'ELK4', 'MINK1', 'FOXK1', 'ACTR2', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23', 'WEE1', 'CCND1']
Only in Control:  	 4.106 	 hsa-miR-195-5p is DOWN, hsa-miR-20a-5p is not DE, hsa-miR-20b-5p is not DE 	 33.33 	 3 	 ARHGAP12,CCND1,FOXK1 	 30.00 	 ['10', 'hsa-miR-20a-5p', 'hsa-miR-195-5p', 'hsa-miR-20b-5p', 'ELK4', 'MINK1', 'FOXK1', 'ACTR2', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23', 'WEE1', 'CCND1']
Only in Control:  	 6.220 	 hsa-miR-195-5p is DOWN, hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN 	 66.67 	 3 	 ARHGAP12,CCND1,FOXK1 	 30.00 	 ['10', 'hsa-miR-20a-5p', 'hsa-miR-195-5p', 'hsa-miR-519d-3p', 'ELK4', 'MINK1', 'FOXK1', 'ACTR2', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23', 'WEE1', 'CCND1']
Only in Control:  	 3.113 	 hsa-miR-195-5p is DOWN, hsa-miR-20a-5p is not DE, hsa-miR-503-5p is not DE 	 33.33 	 3 	 CCND1 	 30.00 	 ['4', 'hsa-miR-20a-5p', 'hsa-miR-195-5p', 'hsa-miR-503-5p', 'NUFIP2', 'KIF23', 'WEE1', 'CCND1']
Only in Control:  	 3.717 	 hsa-miR-195-5p is DOWN, hsa-miR-20a-5p is not DE, hsa-miR-424-5p is not DE 	 33.33 	 3 	 ARHGAP12,CCND1 	 28.57 	 ['7', 'hsa-miR-20a-5p', 'hsa-miR-195-5p', 'hsa-miR-424-5p', 'ELK4', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23', 'WEE1', 'CCND1']
Only in Control:  	 3.113 	 hsa-miR-195-5p is DOWN, hsa-miR-20a-5p is not DE, hsa-miR-519c-3p is not DE 	 33.33 	 3 	 ARHGAP12 	 28.57 	 ['4', 'hsa-miR-20a-5p', 'hsa-miR-195-5p', 'hsa-miR-519c-3p', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23']
Only in Control:  	 2.975 	 hsa-miR-195-5p is DOWN, hsa-miR-20a-5p is not DE, hsa-miR-497-5p is not DE 	 33.33 	 3 	 ARHGAP12 	 28.57 	 ['6', 'hsa-miR-20a-5p', 'hsa-miR-195-5p', 'hsa-miR-497-5p', 'ELK4', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23', 'WEE1']
Only in Control:  	 4.363 	 hsa-miR-195-5p is DOWN, hsa-miR-20a-5p is not DE, hsa-miR-526b-3p is not DE 	 33.33 	 3 	 ARHGAP12,CCND1,FOXK1 	 37.50 	 ['8', 'hsa-miR-20a-5p', 'hsa-miR-195-5p', 'hsa-miR-526b-3p', 'ELK4', 'FOXK1', 'ACTR2', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23', 'CCND1']
Only in Control:  	 3.113 	 hsa-miR-195-5p is DOWN, hsa-miR-20a-5p is not DE, hsa-miR-519b-3p is not DE 	 33.33 	 3 	 ARHGAP12 	 37.50 	 ['4', 'hsa-miR-20a-5p', 'hsa-miR-195-5p', 'hsa-miR-519b-3p', 'NUFIP2', 'ARHGAP12', 'SHOC2', 'KIF23']
Only in Control:  	 2.863 	 hsa-miR-181a-5p is not DE, hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 GIGYF1 	 37.50 	 ['8', 'hsa-miR-20a-5p', 'hsa-miR-181a-5p', 'hsa-miR-519d-3p', 'ELK4', 'MAPK1', 'SEPT2', 'CAPRIN2', 'GIGYF1', 'PTEN', 'GATA6', 'BCL2L11']
Only in Control:  	 6.098 	 hsa-miR-155-5p is UP, hsa-miR-17-5p is not DE, hsa-miR-20a-5p is not DE 	 33.33 	 3 	 CCND1,CSNK1A1,MASTL,MECP2,MIDN,RORA,ZBTB18 	 53.85 	 ['13', 'hsa-miR-20a-5p', 'hsa-miR-17-5p', 'hsa-miR-155-5p', 'RORA', 'ZBTB18', 'MASTL', 'HBP1', 'MIDN', 'CSNK1A1', 'NARS', 'SLC30A1', 'PTEN', 'MECP2', 'WEE1', 'CCND1', 'TP53INP1']
Only in Control:  	 5.990 	 hsa-miR-17-5p is not DE, hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 ACOT9,ACVR1B,ADAR,AKAP11,ARHGAP12,ATP6V0E1,C16orf70,CCDC71L,CCND1,CEP72,CFL2,CNOT4,CRK,CSNK1A1,DYNC1LI2,EFCAB14,EIF2S1,FCHO2,FEM1A,FEM1B,FOXK1,GIGYF1,GINS4,GPR157,HAUS8,HSPA8,ICA1L,KMT2B,LDLR,LIMA1,MASTL,MAVS,MECP2,MFSD8,MIDN,MYLIP,NAGK,NPAT,PFKP,POLM,PVR,QKI,QSOX1,RAB11FIP1,REEP3,RGMB,RORA,RPS27A,SKIL,SLC5A3,SMAD4,SRSF2,STAT3,TGFBR2,TNFRSF21,TNKS2,TSG101,TSKU,UBC,UBXN2A,YWHAZ,ZBTB18,ZNF682,ZNFX1 	 24.06 	 ['266', 'hsa-miR-20a-5p', 'hsa-miR-17-5p', 'hsa-miR-519d-3p', 'GNB5', 'CXorf38', 'CAPZA2', 'GATAD1', 'DHODH', 'LIAS', 'ICA1L', 'GTF2H2C', 'SPIB', 'WDR53', 'RANGAP1', 'PIWIL2', 'AGMAT', 'FEM1B', 'RORA', 'TMEM200C', 'RPF2', 'ATAT1', 'DNAJC28', 'KMT2B', 'RNASEH1', 'TBL1XR1', 'TXK', 'EXO5', 'TNFAIP8L1', 'ZMYM1', 'CLEC12B', 'NR2F6', 'QSOX1', 'RRAGD', 'KCNA7', 'MED16', 'ZNF514', 'DIS3L', 'PRIM1', 'ZNF578', 'FXYD5', 'EPS15L1', 'PKNOX1', 'RBM20', 'KLHL36', 'CRISPLD2', 'EFCAB11', 'BMP8B', 'ZNF682', 'CEP72', 'FZD9', 'PCLAF', 'LZIC', 'MARCH6', 'MFSD8', 'TMEM242', 'CCDC71L', 'HMGB3', 'ZDHHC20', 'FOXQ1', 'PTP4A1', 'ZNF70', 'BBX', 'CNOT6L', 'COIL', 'FAM160B1', 'GPR157', 'PXK', 'SMIM13', 'TFAM', 'FEM1A', 'FUT10', 'ACOT9', 'TSR1', 'CEP170', 'EMSY', 'C9orf40', 'CEP97', 'CFL2', 'DYNC1LI2', 'FAM126B', 'GABPB1', 'M6PR', 'MAP3K2', 'NIPA1', 'PKMYT1', 'PURB', 'RAN', 'SCAMP2', 'TMEM64', 'UBC', 'USP32', 'ZNF12', 'NR2C2', 'GRK3', 'PRKCB', 'PVR', 'FJX1', 'TSKU', 'SALL3', 'TTC9', 'ANKRD33B', 'SKIL', 'PCBP2', 'ELK4', 'NRBP1', 'MAVS', 'GNS', 'GINS4', 'RGMB', 'TIMM17A', 'PHTF2', 'SP4', 'DNAJB9', 'CENPQ', 'ATP6V0E1', 'ANKH', 'U2SURP', 'RAB10', 'FNBP1L', 'CCDC137', 'MINK1', 'KRT10', 'KIAA0513', 'ZFYVE9', 'EIF2S1', 'ZFYVE21', 'ACVR1B', 'ZBTB18', 'MED17', 'TNKS2', 'MAPK1', 'WASL', 'ZBTB5', 'ZFYVE26', 'GLO1', 'TNFRSF10B', 'LAPTM4A', 'NAGK', 'NFAT5', 'RPS27A', 'RBM12B', 'ATL3', 'LAMTOR1', 'WAC', 'RPS6KA5', 'ZBTB7A', 'KPNA2', 'HSPA8', 'SEPT2', 'FOXK1', 'EIF4H', 'POLR1B', 'CAVIN1', 'HMGB1', 'GID4', 'TPRG1L', 'EFCAB14', 'FEM1C', 'SLC5A3', 'TSG101', 'F3', 'SRSF2', 'MTPAP', 'ANKRD52', 'YOD1', 'FBXL5', 'KLHL28', 'B2M', 'FCHO2', 'SGTB', 'FAM210A', 'C3orf38', 'ICMT', 'ZBTB33', 'TAX1BP1', 'BTG3', 'FOXJ3', 'UBXN2A', 'TNFRSF21', 'ZNF180', 'ZC3H12C', 'ACTR2', 'NUFIP2', 'NIN', 'AKAP11', 'FAM129A', 'CAPRIN2', 'KATNAL1', 'HAUS8', 'SUCO', 'ZNF202', 'TMEM127', 'LIMA1', 'KDM6B', 'GIGYF1', 'BTF3L4', 'FOXK2', 'SLC35F5', 'CLIC4', 'MORF4L1', 'KIAA1191', 'MASTL', 'HBP1', 'MIDN', 'PTPN4', 'ARHGAP1', 'CNOT4', 'ENPP5', 'C16orf70', 'ZBTB4', 'PRNP', 'PPP1R15B', 'MAPRE3', 'PDRG1', 'MAP7', 'ARHGAP12', 'NACC2', 'ZNF417', 'RAB5B', 'MSMO1', 'REEP3', 'POLM', 'PNRC1', 'RRM2', 'PFKP', 'LDLR', 'DUSP2', 'YWHAZ', 'NFIB', 'QKI', 'MDM2', 'CSNK1A1', 'RHOC', 'RAB22A', 'SOD2', 'TXNIP', 'BNIP2', 'ARID4B', 'MKNK2', 'SMAD4', 'RAB11FIP1', 'CRK', 'ADAR', 'NETO2', 'LASP1', 'ZNF264', 'SOX4', 'BTG2', 'MYLIP', 'NARS', 'SLC30A1', 'SHOC2', 'BRI3BP', 'TGFBR2', 'KIF23', 'CDKN1A', 'PTEN', 'STAT3', 'MECP2', 'ATXN1', 'NPAT', 'NABP1', 'GPR137B', 'ZNFX1', 'GATA6', 'WEE1', 'E2F1', 'CCND1', 'BCL2L11']
Only in Control:  	 3.113 	 hsa-miR-17-3p is DOWN, hsa-miR-17-5p is not DE, hsa-miR-20a-5p is not DE 	 33.33 	 3 	 FEM1A 	 27.27 	 ['4', 'hsa-miR-20a-5p', 'hsa-miR-17-5p', 'hsa-miR-17-3p', 'FEM1A', 'HBP1', 'SOD2', 'TXNIP']
Only in Control:  	 3.113 	 hsa-miR-17-5p is not DE, hsa-miR-20a-5p is not DE, hsa-miR-491-5p is UP 	 33.33 	 3 	 YWHAZ 	 27.27 	 ['4', 'hsa-miR-20a-5p', 'hsa-miR-17-5p', 'hsa-miR-491-5p', 'NACC2', 'YWHAZ', 'NFIB', 'SHOC2']
Only in Case:  	 3.170 	 hsa-miR-148b-3p is UP, hsa-miR-17-5p is not DE, hsa-miR-20a-5p is not DE 	 33.33 	 3 	 CNOT4 	 27.27 	 ['3', 'hsa-miR-20a-5p', 'hsa-miR-17-5p', 'hsa-miR-148b-3p', 'ZFYVE26', 'CNOT4', 'TXNIP']
Only in Control:  	 3.371 	 hsa-miR-142-3p is UP, hsa-miR-17-5p is not DE, hsa-miR-20a-5p is not DE 	 33.33 	 3 	 C16orf70,MFSD8 	 18.18 	 ['11', 'hsa-miR-20a-5p', 'hsa-miR-17-5p', 'hsa-miR-142-3p', 'MFSD8', 'WASL', 'HMGB1', 'YOD1', 'SUCO', 'SLC35F5', 'CLIC4', 'MORF4L1', 'KIAA1191', 'C16orf70', 'PPP1R15B']
Only in Case:  	 3.522 	 hsa-miR-17-5p is not DE, hsa-miR-20a-5p is not DE, hsa-miR-539-5p is UP 	 33.33 	 3 	 CCDC71L,LDLR 	 22.22 	 ['9', 'hsa-miR-20a-5p', 'hsa-miR-17-5p', 'hsa-miR-539-5p', 'ZMYM1', 'PCLAF', 'CCDC71L', 'GLO1', 'LAMTOR1', 'NUFIP2', 'ENPP5', 'LDLR', 'SOD2']
Only in Case:  	 3.113 	 hsa-miR-17-5p is not DE, hsa-miR-20a-5p is not DE, hsa-miR-365b-3p is DOWN 	 33.33 	 3 	 MYLIP 	 50.00 	 ['4', 'hsa-miR-20a-5p', 'hsa-miR-17-5p', 'hsa-miR-365b-3p', 'POLR1B', 'NUFIP2', 'BTF3L4', 'MYLIP']
Only in Case:  	 4.113 	 hsa-miR-17-5p is not DE, hsa-miR-20a-5p is not DE, hsa-miR-3910 is UP 	 33.33 	 3 	 EFCAB14,MYLIP 	 50.00 	 ['4', 'hsa-miR-20a-5p', 'hsa-miR-17-5p', 'hsa-miR-3910', 'EFCAB14', 'ICMT', 'ARHGAP1', 'MYLIP']
Only in Control:  	 4.289 	 hsa-miR-16-5p is not DE, hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 ARHGAP12,CCND1,FOXK1,HSPA8 	 28.57 	 ['14', 'hsa-miR-20a-5p', 'hsa-miR-16-5p', 'hsa-miR-519d-3p', 'ELK4', 'MINK1', 'HSPA8', 'FOXK1', 'ACTR2', 'NUFIP2', 'KATNAL1', 'MAP7', 'ARHGAP12', 'BTG2', 'SHOC2', 'KIF23', 'WEE1', 'CCND1']
Only in Control:  	 4.960 	 hsa-miR-15b-5p is not DE, hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN 	 33.33 	 3 	 ARHGAP12,CCND1,CRK,FOXK1,HSPA8 	 38.46 	 ['13', 'hsa-miR-20a-5p', 'hsa-miR-15b-5p', 'hsa-miR-519d-3p', 'ELK4', 'MINK1', 'HSPA8', 'SEPT2', 'FOXK1', 'ACTR2', 'NUFIP2', 'ARHGAP12', 'CRK', 'SHOC2', 'KIF23', 'WEE1', 'CCND1']
Only in Control:  	 6.296 	 hsa-miR-155-5p is UP, hsa-miR-20a-5p is not DE, hsa-miR-20b-5p is not DE 	 33.33 	 3 	 CCND1,CSNK1A1,MASTL,MECP2,MIDN,RORA,ZBTB18 	 58.33 	 ['12', 'hsa-miR-20a-5p', 'hsa-miR-155-5p', 'hsa-miR-20b-5p', 'RORA', 'ZBTB18', 'MASTL', 'HBP1', 'MIDN', 'CSNK1A1', 'NARS', 'SLC30A1', 'PTEN', 'MECP2', 'WEE1', 'CCND1']
Only in Control:  	 8.409 	 hsa-miR-155-5p is UP, hsa-miR-20a-5p is not DE, hsa-miR-519d-3p is DOWN 	 66.67 	 3 	 CCND1,CSNK1A1,MASTL,MECP2,MIDN,RORA,ZBTB18 	 58.33 	 ['12', 'hsa-miR-20a-5p', 'hsa-miR-155-5p', 'hsa-miR-519d-3p', 'RORA', 'ZBTB18', 'MASTL', 'HBP1', 'MIDN', 'CSNK1A1', 'NARS', 'SLC30A1', 'PTEN', 'MECP2', 'WEE1', 'CCND1']
Only in Control:  	 5.113 	 hsa-miR-155-5p is UP, hsa-miR-20a-5p is not DE, hsa-miR-519c-3p is not DE 	 33.33 	 3 	 CSNK1A1,MIDN,ZBTB18 	 75.00 	 ['4', 'hsa-miR-20a-5p', 'hsa-miR-155-5p', 'hsa-miR-519c-3p', 'ZBTB18', 'MIDN', 'CSNK1A1', 'SLC30A1']
Only in Control:  	 3.170 	 hsa-miR-142-5p is not DE, hsa-miR-155-5p is UP, hsa-miR-20a-5p is not DE 	 33.33 	 3 	 CCND1 	 75.00 	 ['3', 'hsa-miR-20a-5p', 'hsa-miR-155-5p', 'hsa-miR-142-5p', 'NARS', 'CCND1', 'TP53INP1']
Only in Control:  	 5.560 	 hsa-miR-155-5p is UP, hsa-miR-20a-5p is not DE, hsa-miR-526b-3p is not DE 	 33.33 	 3 	 CCND1,CSNK1A1,MIDN,RORA 	 66.67 	 ['6', 'hsa-miR-20a-5p', 'hsa-miR-155-5p', 'hsa-miR-526b-3p', 'RORA', 'MIDN', 'CSNK1A1', 'NARS', 'SLC30A1', 'CCND1']
